DATE,IPG2211A2N
1985-01-31,72.5052
1985-02-28,70.672
1985-03-31,62.4502
1985-04-30,57.4714
1985-05-31,55.3151
1985-06-30,58.0904
1985-07-31,62.6202
1985-08-31,63.2485
1985-09-30,60.5846
1985-10-31,56.3154
1985-11-30,58.0005
1985-12-31,68.7145
1986-01-31,73.3057
1986-02-28,67.9869
1986-03-31,62.2221
1986-04-30,57.0329
1986-05-31,55.8137
1986-06-30,59.9005
1986-07-31,65.7655
1986-08-31,64.4816
1986-09-30,61.0005
1986-10-31,57.5322
1986-11-30,59.3417
1986-12-31,68.1354
1987-01-31,73.8152
1987-02-28,70.062
1987-03-31,65.61
1987-04-30,60.1586
1987-05-31,58.8734
1987-06-30,63.8918
1987-07-31,68.8694
1987-08-31,70.0669
1987-09-30,64.1151
1987-10-31,60.3789
1987-11-30,62.4643
1987-12-31,70.5777
1988-01-31,79.8703
1988-02-29,76.1622
1988-03-31,70.2928
1988-04-30,63.2384
1988-05-31,61.4065
1988-06-30,67.1097
1988-07-31,72.9816
1988-08-31,75.7655
1988-09-30,67.5152
1988-10-31,63.2832
1988-11-30,65.1078
1988-12-31,73.8631
1989-01-31,77.9188
1989-02-28,76.6822
1989-03-31,73.3523
1989-04-30,65.1081
1989-05-31,63.6892
1989-06-30,68.4722
1989-07-31,74.0301
1989-08-31,75.0448
1989-09-30,69.3053
1989-10-31,65.8735
1989-11-30,69.0706
1989-12-31,84.1949
1990-01-31,84.3598
1990-02-28,77.1726
1990-03-31,73.1964
1990-04-30,67.2781
1990-05-31,65.8218
1990-06-30,71.4654
1990-07-31,76.614
1990-08-31,77.1052
1990-09-30,73.061
1990-10-31,67.4365
1990-11-30,68.5665
1990-12-31,77.6839
1991-01-31,86.0214
1991-02-28,77.5573
1991-03-31,73.365
1991-04-30,67.15
1991-05-31,68.8162
1991-06-30,74.8448
1991-07-31,80.0928
1991-08-31,79.1606
1991-09-30,73.5743
1991-10-31,68.7538
1991-11-30,72.5166
1991-12-31,79.4894
1992-01-31,85.2855
1992-02-29,80.1643
1992-03-31,74.5275
1992-04-30,69.6441
1992-05-31,67.1784
1992-06-30,71.2078
1992-07-31,77.5081
1992-08-31,76.5374
1992-09-30,72.3541
1992-10-31,69.0286
1992-11-30,73.4992
1992-12-31,84.5159
1993-01-31,87.9464
1993-02-28,84.5561
1993-03-31,79.4747
1993-04-30,71.0578
1993-05-31,67.6762
1993-06-30,74.3297
1993-07-31,82.1048
1993-08-31,82.0605
1993-09-30,74.6031
1993-10-31,69.681
1993-11-30,74.4292
1993-12-31,84.2284
1994-01-31,94.1386
1994-02-28,87.1607
1994-03-31,79.2456
1994-04-30,70.9749
1994-05-31,69.3844
1994-06-30,77.9831
1994-07-31,83.277
1994-08-31,81.8872
1994-09-30,75.6826
1994-10-31,71.2661
1994-11-30,75.2458
1994-12-31,84.8147
1995-01-31,92.4532
1995-02-28,87.4033
1995-03-31,81.2661
1995-04-30,73.8167
1995-05-31,73.2682
1995-06-30,78.3026
1995-07-31,85.9841
1995-08-31,89.5467
1995-09-30,78.5035
1995-10-31,73.7066
1995-11-30,79.6543
1995-12-31,90.8251
1996-01-31,98.9732
1996-02-29,92.8883
1996-03-31,86.9356
1996-04-30,77.2214
1996-05-31,76.6826
1996-06-30,81.9306
1996-07-31,85.9606
1996-08-31,86.5562
1996-09-30,79.1919
1996-10-31,74.6891
1996-11-30,81.074
1996-12-31,90.4855
1997-01-31,98.4613
1997-02-28,89.7795
1997-03-31,83.0125
1997-04-30,76.1476
1997-05-31,73.8471
1997-06-30,79.7645
1997-07-31,88.4519
1997-08-31,87.7828
1997-09-30,81.9386
1997-10-31,77.5027
1997-11-30,82.0448
1997-12-31,92.101
1998-01-31,94.792
1998-02-28,87.82
1998-03-31,86.5549
1998-04-30,76.7521
1998-05-31,78.0303
